prompt0	धन्यवाद . आपका नया cheque book issue का निवेदन रजिस्टर किया गया है . सामान्य रूप से आपको एक या दो हफ्तों के अंदर रजिस्टर्ड पते पे कूरियर कर दिया जायेगा . 
prompt1	धन्यवाद . आपका नया चेक बुक इशू का निवेदन रजिस्टर किया गया है . सामान्य रूप से आपको एक या दो हफ्तों के अंदर रजिस्टर्ड पते पे कूरियर कर दिया जायेगा . 
prompt2	धन्यवाद . आपका नया cheque book issue का निवेदन रजिस्टर किया गया है . सामान्य रूप से आपको एक या दो हफ्तों के अंदर registered पते पे कूरियर कर दिया जायेगा . 
prompt3	धन्यवाद . आपका नया cheque book issue का निवेदन रजिस्टर किया गया है . सामान्य रूप से आपको एक या दो हफ्तों के अंदर रजिस्टर्ड पते पे courier कर दिया जायेगा . 
prompt4	धन्यवाद . आपका नया cheque book issue का निवेदन रजिस्टर किया गया है . सामान्य रूप से आपको एक या दो हफ्तों के अंदर registered पते पे courier कर दिया जायेगा . 
prompt5	Welcome . आपका नया cheque book issue का निवेदन रजिस्टर किया गया है . सामान्य रूप से आपको एक या दो हफ्तों के अंदर रजिस्टर्ड पते पे कूरियर कर दिया जायेगा . 
prompt6	Welcome . आपका नया cheque book issue का निवेदन रजिस्टर किया गया है . सामान्य रूप से आपको एक या दो हफ्तों के अंदर registered पते पे कूरियर कर दिया जायेगा . 
prompt7	Welcome . आपका नया cheque book issue का निवेदन रजिस्टर किया गया है . सामान्य रूप से आपको एक या दो हफ्तों के अंदर रजिस्टर्ड पते पे courier कर दिया जायेगा . 
prompt8	Welcome . आपका नया cheque book issue का निवेदन रजिस्टर किया गया है . सामान्य रूप से आपको एक या दो हफ्तों के अंदर registered पते पे courier कर दिया जायेगा . 
prompt9	Welcome . आपका नया cheque book issue का निवेदन register किया गया है . सामान्य रूप से आपको एक या दो हफ्तों के अंदर रजिस्टर्ड पते पे कूरियर कर दिया जायेगा . 
prompt10	Welcome . आपका नया cheque book issue का निवेदन register किया गया है . सामान्य रूप से आपको एक या दो हफ्तों के अंदर registered पते पे कूरियर कर दिया जायेगा . 
prompt11	Welcome . आपका नया cheque book issue का निवेदन register किया गया है . सामान्य रूप से आपको एक या दो हफ्तों के अंदर रजिस्टर्ड पते पे courier कर दिया जायेगा . 
prompt12	Welcome . आपका नया cheque book issue का निवेदन register किया गया है . सामान्य रूप से आपको एक या दो हफ्तों के अंदर registered पते पे courier कर दिया जायेगा . 
prompt13	Your request has been registered . It will be delivered to your registered address within a week . 
prompt14	Welcome . Your request has been registered . It will be delivered to your registered address within a week . 
prompt15	धन्यवाद . आपका नया चेक बुक का निवेदन रजिस्टर किया गया है . सामान्य रूप से आपको एक या दो हफ्तों के अंदर registered पते पे कूरियर कर दिया जायेगा . 
prompt16	धन्यवाद . आपका नया चेक बुक का निवेदन रजिस्टर किया गया है . सामान्य रूप से आपको एक या दो हफ्तों के अंदर रजिस्टर्ड पते पे courier कर दिया जायेगा . 
prompt17	धन्यवाद . आपका नया चेक बुक का निवेदन रजिस्टर किया गया है . सामान्य रूप से आपको एक या दो हफ्तों के अंदर registered पते पे courier कर दिया जायेगा . 
prompt18	धन्यवाद . आपका नया चेक बुक का निवेदन रजिस्टर किया गया है . सामान्य रूप से आपको एक या दो हफ्तों के अंदर रजिस्टर्ड पते पे कूरियर कर दिया जायेगा . 
prompt19	Welcome . आपका नया चेक बुक का निवेदन register किया गया है . सामान्य रूप से आपको एक या दो हफ्तों के अंदर रजिस्टर्ड पते पे कूरियर कर दिया जायेगा . 
prompt20	Welcome . आपका नया चेक बुक का निवेदन register किया गया है . सामान्य रूप से आपको एक या दो हफ्तों के अंदर registered पते पे कूरियर कर दिया जायेगा . 
prompt21	Welcome . आपका नया चेक बुक का निवेदन register किया गया है . सामान्य रूप से आपको एक या दो हफ्तों के अंदर रजिस्टर्ड पते पे courier कर दिया जायेगा . 
prompt22	Welcome . आपका नया चेक बुक का निवेदन register किया गया है . सामान्य रूप से आपको एक या दो हफ्तों के अंदर registered पते पे courier कर दिया जायेगा . 
