prompt0	आपका PAN नंबर दीजिए | 
prompt1	माफ़ी चाहता हूँ | प्रतिनिधि अभी मुक्त नहीं है | आप एक तारीख बताइए सोमवार से शनिवार के अंदर | 
prompt2	धन्यवाद | प्रतिनिधि किस समय पर आना चाहिए 9am to 5pm
prompt3	इस सेवा का उपयोग करने के लिए शुक्रिया | आप किस तरह का खाता खोलना चाहते है ? 
prompt4	आप चार तरह के खाते खोल सकते है -
1 ) Current account . 
2 ) Savings account . 
3 ) Recurring Deposit account . 
4 ) Fixed Deposit account 
prompt5	जरूर | आप अपना नाम बताईये | 
prompt6	आपका नवीनतम तस्वीर भेजिए | 
prompt7	शुक्रिया | आपका Aadhaar नंबर दीजिए | 
prompt8	शुक्रिया | आपका घर का स्थायी पता दीजिए | 
prompt9	धीरज रकने के लिए बहुत शुक्रिया | आपके हस्ताक्षर के तस्वीर भेजिए | 
prompt10	धन्यवाद | आपकी खाते खोलने की प्रक्रिया शुरु हो चुका है | XXXXX बैंक की प्रतिनिधि जाँच के लिए आपके घर आने वाला है | आप कब उपलब्ध हो ? 
prompt11	बहुत धन्यवाद | प्रतिनिधि को आपके विवरण दिया गया है । उस दिन प्रतिनिधि आपको संपर्क करेंगे
